pretty_formula,material_id,band_gap
Sr2Ti6N2O11,mp-755353,1.5979
MgFe4NiO8,mp-1221969,1.5845000000000002
LiFe2C2O7,mp-762511,1.9084
AlAgS2,mp-1096820,1.6349999999999998
SbO2,mp-230,1.8897000000000004
CsVWO6,mp-1225856,1.787
Na3NbZn5(SO4)9,mp-2714092,1.7102999999999997
Hg2W2O7,mp-754961,1.8808
Ba2P7I,mp-1188687,1.7662999999999998
Sn2Sb2Pb4O13,mp-1219056,1.5613
Tl4HgBr6,mp-27293,1.832
Th2S5,mp-1666,1.7512999999999996
Li2VBO4,mp-768177,1.8957
H16RhN5(Cl2O)3,mp-866658,1.6753999999999998
BaGaB4H3O10,mp-1403079,1.9376
MgSn3P2(SO6)4,mp-2712965,1.5154
CaV2O4,mp-1835930,1.5513
V2CrO6,mp-1312918,1.6599000000000002
LaCrO3,mp-19281,1.913800000000001
K9U6BiO24,mp-558206,1.7042000000000002
GaHO2,mp-625628,1.6097999999999997
Ti2Sb2O7,mp-771652,1.8340000000000003
TmAgSe2,mp-1188652,1.7246999999999997
Na6In4Si3(SO8)3,mp-2716126,1.9003
K2SnBr6,mp-707190,1.8996
ScNbSi(SO6)2,mp-2713368,1.9425
MgMn2FeWO6,mp-2217875,1.6818000000000004
MnCl2,mp-28233,1.7925999999999995
Ca2H3Br,mp-1018656,1.5364999999999998
ZrZnN2,mp-1014244,1.99
LiAuF6,mp-1079483,1.8673
Li6VCrP2(CO7)2,mp-756728,1.9883
AlB3H14N,mp-1252808,1.5074999999999998
Ba2TaFeO6,mp-1205671,1.8623
Ce8Nd2O19,mp-675003,1.9251
La4Cu3MoO12,mp-554177,1.7031
Na2SeO5,mp-734025,1.7542000000000002
MnH6(OF)3,mp-743569,1.5910000000000002
K3BSb4O13,mp-558607,1.8698
LiFe2F6,mp-557403,1.7058
MgV2P2(HO5)2,mp-2229286,1.7545000000000002
Lu2MgSe4,mp-1232258,1.9156
Sr3Sc3N5,mp-1245988,1.7723
Na5La2Ti2SiP5O24,mp-2716079,1.9814
Li7Mn2(CoO4)3,mp-1175072,1.6536
VPO5,mp-766127,1.7964
WN18,mp-672264,1.7919
CoBi6(SO8)2,mp-1306933,1.6303
LiZnFeO3,mp-1222343,1.7135999999999996
K3NiO2,mp-1102898,1.5999
CaVFe(P2O7)2,mp-1233846,1.6683
AgH12C4S5N,mp-698405,1.747
Na9NbZn5Si3(SO6)6,mp-2712600,1.7331
SrSnO3,mp-12867,1.5555000000000003
LiSmSe2,mp-35388,1.5106
Na4Ca3TiSiS5O24,mp-2713352,1.6687
Si2AgN3,mp-1246476,1.6338000000000008
K4U5Te2O21,mp-556212,1.769
Mn5V2(HO3)4,mp-1210639,1.7086
Zn2CrWO6,mp-1277741,1.9752
Cd2P4PdO8,mp-1214873,1.7623
LiAu(S2O7)2,mp-1105750,1.9833
Ag3B5O9,mp-1194638,1.8021
MgZn2O3,mp-1221931,1.7077999999999998
Sc7V9O24,mp-863413,1.6977000000000002
MgSe,mp-10760,1.7609
Nd8Sb2S15,mp-1195765,1.8313
NaGeSbO5,mp-6526,1.9847
BaFe2(P2O7)2,mp-1190858,1.7887
Ba2LaBiO6,mp-1520526,1.7696999999999994
LiMnP2O7,mp-31960,1.5180000000000002
GaSi2N3,mp-1246892,1.6923000000000012
Ag3AsS3,mp-555843,1.6989
Li2CrFeO4,mp-754952,1.7254999999999998
Li2CuPO4,mp-26695,1.7827000000000002
Fe7(SiO4)4,mp-1197365,1.926
Li3Fe3(SnO5)2,mp-753126,1.6923000000000004
Li2V2SnO6,mp-754074,1.5564000000000004
Hf2N2O,mp-755314,1.9012
LaMgI5,mp-756448,1.9817
Mg(ScS2)2,mp-1232130,1.5846
As8S9,mp-31070,1.7164
Te(HO2)2,mp-625513,1.7656
HgPS3,mp-27178,1.7549
MgO,mp-1245039,1.9229000000000005
SrZnP2WO8,mp-1046576,1.9574
Na2Nb6Ga2Si7S5O48,mp-2715594,1.9311
KLi3PbO4,mp-559106,1.6930999999999998
FeMoClO4,mp-1272202,1.8735
Li5V2P5O18,mp-26595,1.9323
LiCuCO3,mp-753425,1.7011
K3NbSe4,mp-17283,1.8249
K2NiHgF6,mp-1112157,1.9584
Sr4ZrTi3O12,mp-1218479,1.981
Na3CaSn3P5SO24,mp-2715934,1.7614
Na3GeSe3,mp-18411,1.8881
K6U5V2O23,mp-557365,1.7214000000000005
Li2VFeP2(HO5)2,mp-1177777,1.7599
NaSr3NdTi5O15,mp-703275,1.9141
Li7Fe8(BO3)8,mp-761220,1.5200999999999998
SbP2SN3Cl10,mp-648469,1.8198
Bi2W2O9,mp-1197485,1.9562000000000004
KGe2N3,mp-1029404,1.6518000000000006
K2Mg(CoO2)2,mp-2240424,1.7495
Mn3Nb2ZnO9,mp-557349,1.9058
InSnBr3,mp-998555,1.7904999999999998
MnBiO3,mp-1194603,1.9011
Cr2(Hg2O3)3,mp-558700,1.8298
Mn2NbFe3(PO4)6,mp-775988,1.9175
NaMg30BO31,mp-1039838,1.8663000000000007
NaPS3,mp-1189520,1.988
Li2VCrO4,mp-759380,1.5932999999999995
LiUBO5,mp-556156,1.9059
Li2Cr3SbO8,mp-1178030,1.9744999999999997
NbNO,mp-7596,1.5556
Li2TiNiO4,mp-755096,1.6432999999999995
VFeO4,mp-850978,1.7642
HfMgN2,mp-1029834,1.6720000000000006
ZnAg2(PS3)2,mp-1207470,1.7679999999999998
CdGePH3O7,mp-695422,1.7463999999999995
VZnSiO5,mp-1046716,1.8206
TcAgO4,mp-7206,1.6034000000000002
Zr2N2O,mp-674947,1.6661
Na10Mg6Si3Sn2(S3O16)3,mp-2714896,1.5264000000000002
Mg6ZnFeO8,mp-1032625,1.8576999999999997
Mg30BWO32,mp-1038517,1.885699999999999
Ba2UNiO6,mp-19093,1.6246
Na4Al2Si3Sn2(SO8)3,mp-2713666,1.5372
Gd2MgMo2(ClO4)2,mp-2232458,1.6193000000000002
Ba7Ga5AgSe15,mp-1198460,1.904
Rb8W13O43,mp-706241,1.8216
Na4Mn3BO8,mp-1221176,1.8669
Ba2Sc2O5,mp-863021,1.5335
HgB4O7,mp-12022,1.7969
Pr2S3,mp-32692,1.9475
K6Al11Si13Ag5O48,mp-686585,1.5983
VPO5,mp-25265,1.6452999999999998
Zn2Si5N8,mp-1247426,1.9910999999999996
Na4Zn3GeP2(SO6)4,mp-2713189,1.839
BaGa2GeSe6,mp-1227970,1.9186
AlCuS2,mp-4979,1.6756000000000002
Ag2WO4,mp-637188,1.9382
CsS3,mp-1188913,1.6567
H8PtO6,mp-625208,1.938
H16PdC4S4(N5O3)2,mp-1212583,1.6554000000000002
K3VS4,mp-3529,1.5829999999999995
V2O5,mp-1245162,1.5861
NaLa2Ga2PS5O24,mp-2714193,1.799
MgV4(PbO6)2,mp-2230576,1.5410999999999997
Cs2CrH4F10,mp-1204482,1.9123
LiMo2(PO4)3,mp-540268,1.5276999999999998
FeH16C4S4(N4Cl)2,mp-723036,1.9677
Si2H2O3,mp-627314,1.7578
Na3MgNb5Si6(SO12)3,mp-2715664,1.9244000000000003
MgV3O8,mp-37961,1.6688
GeI4,mp-23266,1.996
Na3BrO,mp-985586,1.8815
La4MgSi4(C2O11)2,mp-1212027,1.6322
KTa(AgSe2)2,mp-571288,1.7478
MgCr2Fe3Ni(PO4)6,mp-1233940,1.5388000000000002
Ga(BiBr)4,mp-571502,1.5866
TiMnH12(OF)6,mp-866804,1.8926
Mg30ZnCrO32,mp-1037573,1.6493000000000002
AlCuO2,mp-3098,1.8148
Y3Fe5O12,mp-4704,1.6633
K2OsNCl5,mp-640057,1.6138000000000003
Y5(SiN3)3,mp-1245467,1.9388
Mg(FeO2)2,mp-1386508,1.7678000000000005
CaSnO2,mp-1046012,1.6462000000000003
Rb3Er7S12,mp-1219776,1.94
K6InTe4Cl,mp-568916,1.9503
Li2PtO2,mp-1177862,1.5326
KLaTbBiO6,mp-1520975,1.9221
CeZrO4,mp-1019596,1.7012
Sm2MgCr2O8,mp-2215872,1.7016999999999998
Li3MnFeCo(PO4)3,mp-759846,1.8256
Na3SiTe3,mp-17291,1.8159
Si2H2O3,mp-627123,1.6023999999999998
LiErS2,mp-35591,1.9887
Ba2Mn2F11,mp-1049304,1.6667
Rb2Sb4O11,mp-558023,1.8332
Ca2AsI,mp-28554,1.5566
Mg(GaS2)2,mp-1246286,1.6447999999999996
CsLiO,mp-1178395,1.6344000000000003
SbCNCl6,mp-570727,1.9675
As4(Pb3S5)3,mp-27594,1.5756
Na10Ga4Si7Ge4S5O48,mp-2715947,1.8099
SbO2,mp-1400172,1.5292
UO3,mp-1198490,1.8782999999999996
SrSnO3,mp-12866,1.6118
Zr2N2O,mp-776314,1.6107
FeH4S2NO8,mp-684724,1.9116
NiPtF6,mp-558838,1.6021
MgV2(CoO4)2,mp-2219669,1.9323
