pretty_formula,material_id,band_gap
Li2FeAgF6,mp-1111363,1.5286000000000002
K2Os(Cl2O)2,mp-23097,1.7383
AuF3,mp-942,1.5542
Ba6LiNb2Ir(ClO6)2,mp-1235768,1.5303999999999998
RbAu3Se2,mp-9385,1.7326
AlAg(WO4)2,mp-1047169,1.5724
Fe2Te2Ru2(CO)11,mp-651724,1.6949
YAgS2,mp-1096795,1.7042000000000006
TlAuCl4,mp-28368,1.7616999999999998
CoAgPO4,mp-505353,1.7129000000000003
BaAuCl,mp-1100397,1.9626
KP2AuS7,mp-976587,1.5497
KAgTeS3,mp-1211783,1.8269
RbAuSe,mp-9731,1.7116000000000002
NaAu(S2O7)2,mp-1198003,1.7895
AuC4(N2O)2,mp-1192181,1.7397
Ba2ZnAg2(SeO)2,mp-622268,1.6140999999999996
Rb2CrAuF6,mp-1110593,1.6646
Dy2Pt2O7,mp-1178365,1.5345
LiAgAu2,mp-1093804,1.7120999999999995
BaAgTeF,mp-16742,1.5109999999999997
Tb2Au5F21,mp-541348,1.6596
Ga2PdBr8,mp-30945,1.5761999999999998
TaAgN2,mp-1246632,1.9408
GaAgGeS4,mp-1224946,1.662
Rb2LiRhCl6,mp-1206187,1.6499
PtO2,mp-7868,1.5362
Tl2Hg2PdCl8,mp-569675,1.7216000000000002
Ag6Mo10O33,mp-504579,1.771
Mg2NiPt,mp-1093934,1.5702
TaAgO3,mp-1187189,1.7306000000000004
Cd(AuF4)2,mp-29169,1.7789
AgMo4H22C8(NO5)3,mp-603946,1.9177
Ba4(PtO3)3,mp-757840,1.5953000000000004
CrAg(SO4)2,mp-1213773,1.9491
AgI,mp-1182980,1.8797
SnH12Pt(N2Cl3)2,mp-707441,1.834
FeAg(SO4)2,mp-1212721,1.6382999999999996
H8PtN2(ClO)2,mp-23858,1.7313
LiAgF2,mp-752882,1.5272
Rb2SbAuS4,mp-556894,1.5357999999999998
Au2S,mp-947,1.9091
CrAgO2,mp-19378,1.6634000000000009
K2RuNCl5O,mp-541361,1.7947
AgSbF6,mp-3414,1.7739
Rb2LiRhF6,mp-1113707,1.7225
KV2Fe(AgO4)2,mp-1103811,1.9738
Cs3Ag9(SbS3)4,mp-1226259,1.5938999999999997
