pretty_formula,material_id,band_gap
Na2O,mp-1974948,1.6260000000000001
Li2Mn2C2O7,mp-760097,1.9123
Na6Ta2In6Si5S7O48,mp-2715864,1.9131
Li3Fe(PO4)2,mp-757629,1.9917999999999996
Bi2O3,mp-37036,1.6863000000000001
SnS2,mp-1002063,1.8647999999999998
Na3P11,mp-473,1.8326000000000002
AgN3,mp-571297,1.6314999999999997
KH13CBrNO7,mp-600177,1.783
Nb2Ge2O7,mp-771194,1.5479999999999998
Cs2NaRhF6,mp-1111979,1.9082000000000003
Ag4Bi2O5,mp-28996,1.6389000000000005
RbTl(SO4)2,mp-556120,1.989
SiC,mp-1200168,1.9411999999999985
K2Mg(PSe3)2,mp-11643,1.6572
Fe2OF3,mp-758397,1.6847
Ag2Pb8Cl4O7,mp-667327,1.9106
Ag2H6PdS2(NO3)2,mp-1202149,1.8948999999999998
Rb2TlBiBr6,mp-1114114,1.6711
Li3Fe8(BO3)8,mp-759585,1.6965000000000001
MgFe4O5F3,mp-2219422,1.8706999999999998
H10C3S3N,mp-558354,1.7681000000000002
Sn2SI2,mp-23386,1.6146000000000003
LiFe8(BO3)8,mp-761206,1.7294999999999998
FeBiC6(N3O2)2,mp-818314,1.604
Ca2PI,mp-23040,1.6997000000000004
LiFeP2O7,mp-26613,1.9077000000000002
Li2Fe5Si5O16,mp-767707,1.8341000000000003
BCl(OF2)2,mp-754459,1.5295999999999998
MgFe2(SO5)2,mp-2228632,1.6802999999999997
P4W3O14,mp-1041213,1.6078999999999999
Cs4ZnO3,mp-1019612,1.6802
RbInSe2,mp-31309,1.6461999999999999
AgBiO2,mp-996968,1.6897000000000002
Rb2NbCuSe4,mp-15222,1.6393999999999997
O2,mp-1009490,1.6288
LiAuC2,mp-29868,1.5321
NaNbO3,mp-4419,1.5604000000000002
Na2Fe2F7,mp-1203434,1.6825999999999999
Ca2AlSnO5,mp-1251151,1.6406
KZnBr3O2,mp-1193013,1.8994999999999997
MgSn2WO6,mp-1519158,1.9783999999999997
K2NaTlCl6,mp-1111616,1.9894
Li5Cu(PO4)2,mp-773438,1.6448999999999998
LiFe2(BO3)2,mp-759537,1.6146
SnP2O7,mp-1041027,1.8744
Mo6PbI14,mp-569225,1.8429999999999995
ThNb4O12,mp-1217373,1.6498
NaAgH2(SO2)2,mp-1196131,1.8718
MgFe6(OF)6,mp-2230309,1.6353
TlSn2F5,mp-1216794,1.9531
Ca10Al6Si13N30,mp-695592,1.8136999999999999
Li2Nb2Fe3O10,mp-753897,1.5600999999999998
KFe(SO4)2,mp-20968,1.8851
NaAu(IO3)4,mp-1202202,1.9991
SeN,mp-542635,1.8778000000000001
Se2NO6,mp-1199130,1.6951
Ca(FeO2)2,mp-1048853,1.6461000000000001
Fe2C2O7,mp-758768,1.8969
Na42Ca16Ta8Si21(S5O48)3,mp-2715815,1.6985
CCl3,mp-1227457,1.9836999999999998
BS4N4F3,mp-16813,1.8149
P(H2I)2,mp-1210218,1.6383999999999999
GePb3O5,mp-562283,1.6319
Li4Fe2P4H3O16,mp-1177422,1.5845
LiMnOF2,mp-753743,1.8143
Ca3(BiN2)2,mp-1246566,1.5093
Rb2AgBiBr6,mp-1110811,1.5819999999999999
CuI,mp-673245,1.6210000000000004
Zn(FeO2)2,mp-531960,1.5223
Cs2NbAgSe4,mp-14637,1.8213
Zn(FeO2)2,mp-1810050,1.5067000000000004
H2WO5,mp-626869,1.6959000000000002
TlSnI3,mp-1205533,1.8624
MgCu2(WO4)2,mp-2218547,1.5597000000000003
CuP4Se3Cl,mp-1196912,1.6399
LiTa3O8,mp-851102,1.9077000000000002
Cs4CO4,mp-605824,1.7003000000000001
KSnAuS3,mp-1223460,1.6528
